Date,Greenland,Canada,USA,eastern Canada,western Canada,northern Canada,Alaska,US NE,US MidWest,US Pacific,US Rockies
17/09/1997,-0.077,0.103,0.026,0.131,-0.06,0.225,0.145,0,0,-0.018,-0.026
18/09/1997,-0.075,0.038,0.033,0.157,-0.149,0.12,0.183,0,0,-0.018,-0.031
19/09/1997,-0.066,0.055,0.034,0.181,-0.276,0.256,0.182,0,0,-0.018,-0.027
20/09/1997,-0.043,0.055,0.05,0.164,-0.264,0.258,0.245,0,0,-0.018,-0.022
21/09/1997,-0.042,0.01,0.036,0.15,-0.254,0.143,0.182,0,0,-0.018,-0.021
22/09/1997,-0.044,-0.017,0.018,0.179,-0.247,0.049,0.107,0,0,-0.017,-0.022
23/09/1997,-0.021,-0.022,0.031,0.133,-0.243,0.065,0.154,0,0,-0.017,-0.014
24/09/1997,-0.01,0.025,0.023,0.123,-0.232,0.183,0.171,0,0,-0.017,-0.053
25/09/1997,0.009,0.031,0.023,0.092,-0.228,0.214,0.154,0,0,-0.017,-0.042
26/09/1997,0.017,0.073,0.051,0.079,-0.218,0.321,0.242,0,0,-0.016,-0.019
27/09/1997,0.013,0.087,0.058,0.067,-0.209,0.359,0.227,0,0,-0.016,0.017
28/09/1997,0.012,0.123,0.063,0.126,-0.179,0.383,0.258,0,0,-0.016,0.007
29/09/1997,0.021,0.067,0.102,0.143,-0.171,0.223,0.45,0,0,-0.016,-0.011
30/09/1997,0.026,0.1,0.126,0.146,-0.171,0.305,0.539,0,0,-0.015,-0.003
01/10/1997,0.024,0.149,0.13,0.18,-0.149,0.387,0.553,0,0,-0.015,0.001
02/10/1997,0.031,0.179,0.133,0.176,-0.091,0.417,0.55,0,0.001,-0.015,0.011
03/10/1997,-0.073,0.187,0.14,0.115,-0.004,0.402,0.555,0,0.023,-0.015,0.008
04/10/1997,-0.061,0.024,0.207,-0.323,-0.122,0.39,0.459,0,0.111,-0.015,0.201
05/10/1997,-0.057,0.027,0.199,-0.307,-0.15,0.411,0.235,0,0.136,-0.011,0.317
06/10/1997,-0.051,0.076,0.211,-0.21,-0.066,0.395,0.284,0,0.137,-0.009,0.318
07/10/1997,-0.049,0.11,0.206,-0.219,0.005,0.428,0.279,0,0.102,-0.011,0.343
08/10/1997,-0.045,0.142,0.08,0.037,0.009,0.33,0.207,0,0.059,-0.014,0.039
09/10/1997,-0.038,0.2,0.021,0.09,0.108,0.356,0.21,0,0.029,-0.013,-0.123
